id,city_name,city_state
421,Everett,WA
422,El Centro,CA
423,Sugar Land,TX
424,El Monte,CA
425,Lewisville,TX
426,West Covina,CA
427,Temecula,CA
428,Bend,OR
429,Salisbury,MD
430,Jacksonville,NC
431,Inglewood,CA
432,Dearborn,MI
433,Centennial,CO
434,Burbank,CA
435,Sparks,NV
436,Sandy Springs,GA
437,Bloomington,IN
438,Logan,UT
439,Kailua,HI
440,El Cajon,CA
441,Hillsboro,OR
442,South Fulton,GA
443,Renton,WA
444,Mandeville,LA
445,San Mateo,CA
446,Columbia,MD
447,Daly City,CA
448,Davie,FL
449,Jurupa Valley,CA
450,Brockton,MA
451,Longmont,CO
452,Rialto,CA
453,San Germán,PR
454,Eau Claire,WI
455,Turlock,CA
456,Norwalk,CA
457,Highlands Ranch,CO
458,Allen,TX
459,Wichita Falls,TX
460,Rio Rancho,NM
461,Vacaville,CA
462,Spokane Valley,WA
463,Charlottesville,VA
464,Idaho Falls,ID
465,Menifee,CA
466,Lee's Summit,MO
467,Quincy,MA
468,San Angelo,TX
469,Lynn,MA
470,Holland,MI
471,Federal Way,WA
472,Manteca,CA
473,Lafayette,CO
474,Santa Fe,NM
475,Hesperia,CA
476,La Crosse,WI
477,Riverview,FL
478,Kingsport,TN
479,Edinburg,TX
480,Vista,CA
481,Bowling Green,KY
482,Carmel,IN
483,Longview,TX
484,Tracy,CA
485,Prescott Valley,AZ
486,Beaverton,OR
487,Portsmouth,NH
488,Portsmouth,VA
489,Fishers,IN
490,Orem,UT
491,Sandy,UT
492,Sunrise,FL
493,San Tan Valley,AZ
494,Compton,CA
495,Arden-Arcade,CA
496,Hanford,CA
497,Boca Raton,FL
498,Middletown,OH
499,Livonia,MI
500,Carson,CA
501,Lawrence,KS
502,Slidell,LA
503,Blacksburg,VA
504,San Marcos,CA
505,Goodyear,AZ
506,Edmond,OK
507,Mayagüez,PR
508,Fall River,MA
509,South Gate,CA
510,Suffolk,VA
511,Terre Haute,IN
512,Missoula,MT
513,Santa Monica,CA
514,Roswell,GA
515,Vineland,NJ
516,Plantation,FL
517,Alafaya,FL
518,Kirkland,WA
519,Hoover,AL
520,Westminster,CA
521,Lawton,OK
522,San Leandro,CA
523,Auburn,AL
524,Norwalk,CT
525,O'Fallon,MO
526,Chino,CA
527,Germantown,MD
528,Dover,NH
529,Bismarck,ND
530,Waukegan,IL
531,Buckeye,AZ
532,Town 'n' Country,FL
533,Clifton,NJ
534,Bloomington,MN
535,Mount Pleasant,SC
536,Florence,SC
537,Newton,MA
538,State College,PA
539,Livermore,CA
540,Rapid City,SD
541,Decatur,IL
542,Dalton,GA
543,Conroe,TX
544,Hawthorne,CA
545,Lawrence,MA
546,New Braunfels,TX
547,Citrus Heights,CA
548,Jackson,MI
549,Whittier,CA
550,Muncie,IN
551,Troy,MI
552,Homosassa Springs,FL
553,Port Huron,MI
554,Napa,CA
555,Deerfield Beach,FL
556,Springdale,AR
557,Newport Beach,CA
558,Anderson,IN
559,San Ramon,CA
560,Lake Forest,CA
561,Mission,TX
562,Auburn,WA
563,Brooklyn Park,MN
564,Bryan,TX
565,Springfield,OH
566,Hattiesburg,MS
567,Westland,MI
568,Cicero,IL
569,Albany,GA
570,Fort Myers,FL
571,Pine Hills,FL
572,Atascocita,TX
573,Buena Park,CA
574,Redwood City,CA
575,Farmington Hills,MI
576,Alton,IL
577,Melbourne,FL
578,Miami Beach,FL
579,Alhambra,CA
580,Williamsburg,VA
581,Madera,CA
582,Warwick,RI
583,Cranston,RI
584,Baytown,TX
585,Largo,FL
586,Silver Spring,MD
587,Lakewood,CA
588,Mountain View,CA
589,Kankakee,IL
590,Johns Creek,GA
591,Flagstaff,AZ
592,Franklin,TN
593,Joplin,MO
594,Parma,OH
595,Layton,UT
596,New Rochelle,NY
597,Anderson,SC
598,Lebanon,PA
599,Somerville,MA
600,Yauco,PR
601,St. Joseph,MO
602,Plymouth,MN
603,Tustin,CA
604,Zephyrhills,FL
605,Milpitas,CA
606,Florence,AL
607,Pleasanton,CA
608,Boynton Beach,FL
609,Texarkana,TX
610,Folsom,CA
611,Bellflower,CA
612,Pharr,TX
613,Homestead,FL
614,Valdosta,GA
615,Upland,CA
616,Evanston,IL
617,Newark,OH
618,Elizabethtown,KY
619,St. Augustine,FL
620,Rancho Cordova,CA
621,Alameda,CA
622,Chino Hills,CA
623,Perris,CA
624,Schaumburg,IL
625,Kendall,FL
626,Camarillo,CA
627,Anniston,AL
628,Sumter,SC
629,Jonesboro,AR
630,Hammond,IN
631,Carmichael,CA
632,Arlington Heights,IL
633,Morgantown,WV
634,Wyoming,MI
635,Cheyenne,WY
636,Pasco,WA
637,Watsonville,CA
638,Southfield,MI
639,Wausau,WI
640,Rochester Hills,MI
641,Loveland,CO
642,Alexandria,LA
643,Pittsburg,CA
644,Hammond,LA
645,South Jordan,UT
646,Battle Creek,MI
647,Bethlehem,PA
648,Fajardo,PR
649,Davis,CA
650,Apple Valley,CA
651,Pawtucket,RI
652,Wheeling,WV
653,Flower Mound,TX
654,Harrisonburg,VA
655,Cedar Park,TX
656,Oshkosh,WI
657,Winchester,VA
658,Caguas,PR
659,Ellicott City,MD
660,Pocatello,ID
661,Hilton Head Island,SC
662,New Britain,CT
663,Mansfield,OH
664,Woodbury,MN
665,Lauderhill,FL
666,Lehi,UT
667,Bolingbrook,IL
668,Dale City,VA
669,Missouri City,TX
670,Lake Jackson,TX
671,Altoona,PA
672,Doral,FL
673,Owensboro,KY
674,Centreville,VA
675,Mount Vernon,NY
676,Baldwin Park,CA
677,Broomfield,CO
678,Redlands,CA
679,Cleveland,TN
680,Dothan,AL
681,Camden,NJ
682,Redmond,WA
683,Framingham,MA
684,Jackson,TN
685,Janesville,WI
686,Juana Díaz,PR
687,Mansfield,TX
688,Waukesha,WI
689,Tamarac,FL
690,Wenatchee,WA
691,Daytona Beach,FL
692,Castle Rock,CO
693,Redondo Beach,CA
694,Wilmington,DE
695,San Marcos,TX
696,Union City,CA
697,Eldersburg,MD
698,Conway,AR
699,Bayonne,NJ
700,Guaynabo,PR
701,Rocklin,CA
702,Passaic,NJ
703,Sheboygan,WI
